gene_id	gene_name	GM12878_REP1	GM12878_REP2	H1_REP1	H1_REP2	K562_REP1	K562_REP2	MCF7_REP1	MCF7_REP2
ENSG00000174807	CD248	0	1	444	659.652	0	0	0	0
ENSG00000174808	BTC	0	0	16	11.01	0	0	1716	1088
ENSG00000174827	PDZK1	8.668	21.493	26.145	7.808	8	18	4244.287	3706.089
ENSG00000174837	EMR1	1160	1134	0	0	26	21	17	19
ENSG00000174839	DENND6A	1583	1561.001	1243.934	765.355	1172.462	1085.793	3336.82	3077.002
ENSG00000174840	PDE12	3706.159	3685.685	2335.92	2490.253	2088.367	2665.61	3071.544	3019.839
ENSG00000174842	GLMN	950	697.999	570.239	195.991	1114	1571	752.999	555
ENSG00000174844	DNAH12	12	7	4	0	0	0	14	7
ENSG00000174851	YIF1A	3642.999	3859	9893.362	11578.117	3734	4219.001	2445.001	3613.403
ENSG00000174871	CNIH2	109.001	56	622.001	647.012	24	27	283	362
ENSG00000174876	AMY1B	0	0	0	0	0	0	0.502	0
ENSG00000174885	NLRP6	4	0	3	14	17	22	8	3
ENSG00000174886	NDUFA11	6605.529	7721.695	21918.829	24939.557	5861.912	10065.346	1529.479	2299.297
ENSG00000174891	RSRC1	1123.999	817	239	175	1270.029	1833	2139.298	2029.685
ENSG00000174898	CATSPERD	12	6	13	5	0	0	12.005	5
ENSG00000174899	C3orf55	0	0	43	42.001	12	13	17	19
ENSG00000174903	RAB1B	17231	19889	26333.307	32035.615	11033	15075.66	13480.012	19965.674
ENSG00000174912	METTL15P1	4.808	1.26	9.594	1.113	15.038	24.265	121.805	74.312
ENSG00000174914	OR9G1	0	0	0	0	0	0	0	0
ENSG00000174915	PTDSS2	1758.999	1800.001	10417.895	12455.364	3393	4255.999	986	1337
ENSG00000174917	C19orf70	4054.059	5854	1578.279	1382.001	5868.001	4568	132.026	274.828
ENSG00000174928	C3orf33	93	47	518.919	334	482	713.001	545.693	636.185
ENSG00000174930	VN2R1P	2	3	0	0	0	0	0	0
ENSG00000174937	OR5M3	0	0	0	0	0	0	0	0
ENSG00000174938	SEZ6L2	0	0	10377.065	11992.659	175	212	1075.036	1906.03
ENSG00000174939	ASPHD1	0	0	911.049	783.168	13	38	256	441.142
ENSG00000174942	OR5R1	0	0	0	0	0	0	0	0
ENSG00000174943	KCTD13	1597	1702	895.001	1162.336	1108	1314.003	2635.001	2930.061
ENSG00000174944	P2RY14	8	11	0	0	0	0	4	4
ENSG00000174945	AMZ1	186.999	184	169	203.687	0	0	2228.999	3921.035
ENSG00000174946	GPR171	0	2	0	0	0	0	0	0
ENSG00000174948	GPR149	0	0	3	0	0	0	0	2
ENSG00000174950	CD164L2	0	0	319.099	495.999	36	54	18	26
ENSG00000174951	FUT1	0	0	2172.616	3085.695	3207.964	3174	736.726	1148.897
ENSG00000174953	DHX36	4738	4217	5847.127	2947.831	5562.001	8647.998	16683.383	14955.343
ENSG00000174957	OR5J2	0	0	0	0	0	0	0	0
ENSG00000174963	ZIC4	0	0	4	14	0	0	454.999	513.999
ENSG00000174970	OR10AG1	0	0	1	2	0	0	0	0
ENSG00000174977	AC026271.5	0	5.582	4.147	1.145	0	1.138	7.73	1.425
ENSG00000174982	OR4S2	0	0	0	0	0	0	0	0
ENSG00000174989	FBXW8	963	822	4492.035	4394.991	711	1005	3622.326	3849.515
ENSG00000174990	CA5A	0	0	0	0	0	0	0	0
ENSG00000174992	ZG16	0	0	2	0	0	0	30.258	43
ENSG00000174996	KLC2	2770.96	3468	3112.784	4310.256	2595.001	3304	2184.446	3250.578
ENSG00000175003	SLC22A1	20	26	14	14	13	26	8	4
ENSG00000175018	TEX36	0	0	0	0	0	31	0	0
ENSG00000175029	CTBP2	161.188	107.983	26706.773	27056.902	198	236.329	10918.531	10866.106
ENSG00000175040	CHST2	4700	5514	1058	1413	6465	9193	0	0
ENSG00000175048	ZDHHC14	132.001	149	669	714.017	2184	3199.998	291.011	414.243
ENSG00000175054	ATR	4370.128	3909	2750.523	1672.99	3781.43	4373	8845.024	8650.217
ENSG00000175061	FAM211A-AS1	49454.002	46350.856	61711.171	38009.056	42657	45535.227	28203.113	31204.875
ENSG00000175063	UBE2C	7986.999	7878	13262.338	10939.822	35	116	5083.073	5957.495
ENSG00000175065	DSG4	24	26	0	1	0	0	67	64
ENSG00000175066	GK5	1390.001	1090	533.001	331.234	1640.999	2143	1886.394	2015.636
ENSG00000175073	VCPIP1	1687	1466	921.013	551.509	1560	2039	2841.513	2106.576
ENSG00000175077	RTP1	0	0	441	283.326	0	0	0	0
ENSG00000175084	DES	2	0	488.182	438	1617	1458.997	5	1
ENSG00000175087	PDIK1L	1304	922	291	158	2521	3274	2262.037	2209.032
ENSG00000175093	SPSB4	0	0	2585.107	2869.349	0	0	200	255
ENSG00000175097	RAG2	0	0	0	0	18	1	1	1
ENSG00000175104	TRAF6	733	730	971	591.387	965.001	1047	1318.885	1118.527
ENSG00000175105	ZNF654	923	628	138	69	326	542	2721	1892
ENSG00000175106	TVP23C	116.035	142.668	283.115	254.296	426.978	735.071	490.54	478.105
ENSG00000175110	MRPS22	3212.064	2851.999	1711.243	1370.283	9626	13463.999	4098.006	4367.234
ENSG00000175115	PACS1	4741.002	5707.002	3124.084	4657.574	1618	2317	12946.188	11950.154
ENSG00000175121	WFDC5	0	0	6	2	0	0	0	0
ENSG00000175130	MARCKSL1	15879	15147	55432.099	53112.645	18338.999	22101.922	16538.633	15484.151
ENSG00000175137	SH3BP5L	2902	2655.999	4773.922	6199.71	3299	3746.999	1488.238	2025
ENSG00000175143	OR2T1	0	0	0	0	0	0	0	0
ENSG00000175147	TMEM51-AS1	7	3	112	105	0	0	87	92
ENSG00000175155	YPEL2	105.021	131	492.021	450	98	156	5471	3317.001
ENSG00000175161	CADM2	0	0	1101.049	1258.005	43	59	19	12
ENSG00000175164	ABO	0	0	0	24	2339	3339	8.592	0
ENSG00000175166	PSMD2	13125.225	14661	33219.136	25164.539	18009	21531.998	32983.824	43196.229
ENSG00000175170	FAM182B	0	0	6	7	5.003	14	90.508	68.913
ENSG00000175175	PPM1E	31	15	691	652.079	353	511	1726.931	2792.942
ENSG00000175182	FAM131A	441.101	522.988	1767.061	2376.045	739.112	1001.244	595.999	637.143
ENSG00000175183	CSRP2	3	10	7524.084	4481.044	110	113	933.467	558.396
ENSG00000175189	INHBC	19	19	25	31	0	39	14	21
ENSG00000175193	PARL	4193.021	4088.999	4066.245	1819.891	3511.999	4339	5900.631	5795.657
ENSG00000175197	DDIT3	363	362.331	271.99	179.002	2881.146	5078.02	964	811
ENSG00000175198	PCCA	1049	766	1419.484	1028.045	861	1127	905.001	747
ENSG00000175202	HIGD2B	0	2	0	3	0	6	2	3
ENSG00000175203	DCTN2	7198	6980.001	10074.168	6579.24	8053.999	9171	8642.88	9883.205
ENSG00000175206	NPPA	0	0	0	0	0	0	0	0
ENSG00000175213	ZNF408	878.001	811.999	1680.003	2146.616	686.999	1078	721	958.999
ENSG00000175215	CTDSP2	13223.999	13100	15557.741	17596.562	11478	12898.998	20995.017	20609.237
ENSG00000175216	CKAP5	17555.51	15586.999	17562.851	11395.38	23858	33399.289	48939.243	52093.36
ENSG00000175220	ARHGAP1	4139.002	4772.002	6178.396	7762.132	1740.001	2417.001	4964.762	5800.23
ENSG00000175221	MED16	3476.001	4375.001	13097.051	20562.775	2917	3964.999	1236	2020.122
ENSG00000175224	ATG13	5912	5842.002	11516.414	10629.299	5787.001	6964.999	8493.115	8534.259
ENSG00000175229	GAL3ST3	4	12	3394.895	4486.242	0	0	1	1
ENSG00000175262	C1orf127	74	91	59	111	0	1	1	1
ENSG00000175264	CHST1	0	0	325	442	9	1	64	63
ENSG00000175265	GOLGA8A	32396.92	29228.96	2522.165	2743.023	33273.378	49632.878	10297.839	10827.895
ENSG00000175267	VWA3A	1	2	11	9	0	0	19	12
ENSG00000175274	TP53I11	7	35	6016.719	7443.412	76	151	3707.001	4392.946
ENSG00000175279	APITD1	561.774	587.922	507.368	444.402	857.554	1488.428	897.317	972.792
ENSG00000175283	DOLK	851	954	5557.479	4207.483	905	1169	2875	3685.045
ENSG00000175287	PHYHD1	1	2	1706.282	1674.871	34.381	46	19.499	17.071
ENSG00000175294	CATSPER1	0	0	2	1	72	69	26	26
ENSG00000175302	ANKRD30BP1	0	0	0	0	0	0	1	0
ENSG00000175305	CCNE2	1408	1184	264	140.999	1134	1666	6351.916	7745.901
ENSG00000175309	PHYKPL	2926	2862.999	2400.005	2671.298	2170.768	3074	4077.916	4453.028
ENSG00000175311	ANKS4B	0	0	17.37	13.223	0	0	1.013	1.038
ENSG00000175315	CST6	0	5	277.08	256.748	0	0	69	84
ENSG00000175318	GRAMD2	0	0	128	125	1	11	20	18
ENSG00000175319	NF1P5	0	0	0	0	0	0	0	0
ENSG00000175322	ZNF519	725.001	762.003	2294.371	1294.637	631	625.999	952.181	896.683
ENSG00000175324	LSM1	2181	2378	813.309	611.999	4040.547	4748	1073.079	969
ENSG00000175325	PROP1	0	0	0	6	0	0	0	0
ENSG00000175329	ISX	50	29	1	0	15	16	0	0
ENSG00000175334	BANF1	6553	6468.989	16480.743	15324.035	7076.997	11535.056	23084.712	26504.13
ENSG00000175336	APOF	4	0	1	0	0	0	1	0
ENSG00000175344	CHRNA7	0	2	1693.007	1474.164	0	0	29.642	35.029
ENSG00000175348	TMEM9B	2225	1988	869.999	418	1093	1163	2514	2605.129
ENSG00000175352	NRIP3	0	4	970.241	565.389	1306.881	1818.496	7.949	2.009
ENSG00000175354	PTPN2	4653.024	3710.043	2097.523	1233.418	2447.999	3490.31	3667.595	3011.006
ENSG00000175356	SCUBE2	24	22	88.001	67.999	20	0	3041.251	4393.999
ENSG00000175376	EIF1AD	1972	1961.001	4436.567	3208.92	2784	3293.001	5917.015	6227.14
ENSG00000175387	SMAD2	4903	4382.279	5885.099	3132.76	2165.001	2947.279	5770.385	5020.143
ENSG00000175390	EIF3F	11245.783	13128.768	15743.341	19007.236	4797.249	5842.913	4170.669	3973.097
ENSG00000175393	OR10A6	0	0	0	0	0	0	0	0
ENSG00000175395	ZNF25	628	572	45	23	239	360	909	684
ENSG00000175398	OR10P1	0	0	0	0	0	0	0	0
ENSG00000175414	ARL10	1585.398	1398.049	1679.644	1310.968	3.003	1	33.129	26.069
ENSG00000175416	CLTB	2823.045	3293.001	2393.291	2782.379	4523.999	5790.665	5522.022	10137.456
ENSG00000175426	PCSK1	0	3	379.743	214	0	0	1	1
ENSG00000175445	LPL	0	0	521.026	346	594	726	0	0
ENSG00000175449	RFESD	152	122	140	74	5505.001	5577	177	202
ENSG00000175455	CCDC14	6683	5849	6507.877	3768.41	6880.002	9672.998	14960.837	12471.745
ENSG00000175463	TBC1D10C	6682	6847	44	39	50	149	5	6
ENSG00000175467	SART1	3687	4826.001	1438.466	2150.819	3938.999	5812	5086.992	7806.986
ENSG00000175470	PPP2R2D	2682	2456.001	3027	2732.751	3013.285	3643.001	4183.818	4446.783
ENSG00000175471	MCTP1	1080.001	882.999	80	74	0	0	205	210
ENSG00000175482	POLD4	5916.56	6269.213	1809.048	2648.835	2155.002	2404.393	2690.797	3257.108
ENSG00000175485	OR52W1	0	0	0	0	0	0	0	0
ENSG00000175489	LRRC25	209	274	62.035	37	6	0	4	2
ENSG00000175497	DPP10	0	0	817.003	420	0	0	0	0
ENSG00000175505	CLCF1	181	216	149	172.013	398	616.78	1078.654	877.211
ENSG00000175509	RP11-395L14.13	0	0	0	1	0	3	0	0
ENSG00000175513	TSGA10IP	0	0	504	481.001	0	0	1	0
ENSG00000175514	GPR152	0	0	0	0	0	0	1	0
ENSG00000175518	UBQLNL	94	83	48	26	2	28	4	1
ENSG00000175520	UBQLN3	0	0	0	0	0	0	0	0
ENSG00000175535	PNLIP	0	0	1	0	0	0	3	0
ENSG00000175536	LIPT2	132	187	997.546	849.148	108	145	352	340
ENSG00000175538	KCNE3	0	1	298.175	280.506	914	958	1.001	0
ENSG00000175544	CABP4	10	6	0	3	0	0	3	1
ENSG00000175548	ALG10B	874.708	555.953	322.97	328.276	136.332	146.015	708.408	639.352
ENSG00000175550	DRAP1	5738	6103.571	2665.538	3209.929	5627.856	6952	2044	4102.998
ENSG00000175556	LONRF3	6	6	2	4	647	1093	94.001	88.007
ENSG00000175564	UCP3	119	89	82.001	56	4	34	96	105
ENSG00000175567	UCP2	8125	7716.001	4007.727	4640.102	3571.999	4406.338	4823.358	6731.193
ENSG00000175573	C11orf68	1684	1688	4675.546	5321.132	1657	2387.462	1270.077	1416.004
ENSG00000175575	PAAF1	1284	1289	2242.175	1489.999	1342	1859	2341.066	2360.002
ENSG00000175581	MRPL48	1663.999	1655	1947.509	1146.327	2575.999	3581.292	3440.821	3721.813
ENSG00000175582	RAB6A	3648	3288	5058.244	3690.674	5901.001	5883	19790.566	21035.083
ENSG00000175591	P2RY2	0	3	213.013	307.017	0	0	1677.642	2366.009
ENSG00000175592	FOSL1	125	195.925	609.14	801.998	1102	1258	169	112.043
ENSG00000175595	ERCC4	1077.999	921.999	431.213	416.985	673	896.078	1466.541	1347.394
ENSG00000175600	SUGCT	6	16	220	123.999	69	114	40.001	23.999
ENSG00000175602	CCDC85B	6415	7986.097	2385.078	3756.103	5752	7148.037	356	837
ENSG00000175604	RP11-276H1.3	0	0	4	1	0	0	1	0
ENSG00000175606	TMEM70	2960	2853.001	2318.1	1394.006	2912	3755	2176	2228.569
ENSG00000175611	LINC00476	160.999	236	145.402	180.002	231.019	370.001	596.51	584.069
ENSG00000175619	OR4B1	0	0	0	0	0	0	0	0
ENSG00000175634	RPS6KB2	6194.611	6960.001	5135.172	5473.903	8437	9271.999	3069.256	4700.064
ENSG00000175643	RMI2	2047	1754	4375.778	3083.086	1993	2318	6151.007	6187.063
ENSG00000175646	PRM1	0	0	5	1	0	0	0	0
ENSG00000175658	DRD5P2	0	0	15.309	17.126	0	15	0	0
ENSG00000175662	TOM1L2	1298.999	1487	520.999	767	448	449	10046.919	12519.692
ENSG00000175664	TEX26	0	0	0	0	0	0	0	0
ENSG00000175676	GOLGA8EP	0	0	0	0	0	0	0	0
ENSG00000175691	ZNF77	287	282	378.001	217	700	887	585.615	631.001
ENSG00000175697	GPR156	11	1	344.001	218.001	19	2	106.999	110.031
ENSG00000175699	LINC00521	0	0	0	0	0	0	1	0
ENSG00000175701	LINC00116	1526.911	1704	1226.167	1234.591	1126	1513	191	254
ENSG00000175707	C1orf172	0	0	4145.592	4238.647	105	96	792	961.011
ENSG00000175711	B3GNTL1	885	885	941.013	1261.089	1291	1755.001	648.003	842.43
ENSG00000175718	RBMXL3	0	0	0	0	0	0	0	0
ENSG00000175727	MLXIP	3267.893	4032.873	2145.276	3271.035	8432.001	9879.933	7862.348	5980.055
ENSG00000175728	C11orf44	0	0	0	0	0	0	2.007	1.005
ENSG00000175730	BAK1P1	137.852	157.835	217.789	140.35	85.67	24.396	51.002	46.032
ENSG00000175741	RWDD4P2	0	0	0	0	0	0	0	0
ENSG00000175745	NR2F1	1	0	0	15	0	0	102.002	84
ENSG00000175746	C15orf54	0	0	0	0	0	0	0	0
ENSG00000175749	EIF3KP1	0	0	2	3	0	0	3	0
ENSG00000175756	AURKAIP1	6755.999	8350	4444.269	5641.736	13168	16586	1025.999	2157.699
ENSG00000175764	TTLL11	289	371	56	85	307	389.001	483.222	597
ENSG00000175766	EIF4E1B	0	0	137.051	139.046	0	0	0	1
ENSG00000175768	TOMM5	10797.328	11417.374	5661.123	3625.988	17494.142	18899.694	5141.006	5048.342
ENSG00000175772	LINC01106	25.302	16.93	97.316	59.168	0	0	1804.832	1463.753
ENSG00000175773	RP11-121M22.1	2	2	16	14	6	0	8	6
ENSG00000175779	C15orf53	30	23	0	0	0	0	0	0
ENSG00000175782	SLC35E3	945	882	1992	1714.209	642	676.557	1853.72	1909.486
ENSG00000175785	PRIMA1	0	0	725	803.126	0	0	243.999	287
ENSG00000175787	ZNF169	687.179	732	861.476	621.999	1138.173	1087	814.198	911.027
ENSG00000175792	RUVBL1	5966	5515.022	11769.155	10299.064	7274.972	9786.001	8453.268	12392.997
ENSG00000175793	SFN	143	183	265.447	275.263	200	225.057	2204.362	4144.086
ENSG00000175800	OR52B3P	0	0	0	0	0	0	0	0
ENSG00000175806	MSRA	302	276	146.069	109	48	46	467.002	458
ENSG00000175809	ZNF645	0	0	0	0	0	0	1	0
ENSG00000175820	CCDC168	11	4	5	2	19	8	8	10
ENSG00000175826	CTDNEP1	7069.999	9025.999	8999.072	8392.156	5084.999	5472.991	4020.648	4593.573
ENSG00000175827	AP001266.1	236.482	94.343	774.458	972.057	116.298	94.191	0	0
ENSG00000175832	ETV4	189	188	10155.081	10693.97	4068.001	4655.999	88	92
ENSG00000175841	FAM172BP	93	41	33.002	19.034	26.003	11	4	5
ENSG00000175854	SWI5	631.001	714.001	2214	1735.227	3621	3853	1380	1974.63
ENSG00000175857	GAPT	30	19	0	0	0	7	1	0
ENSG00000175866	BAIAP2	26	63.999	1145.009	1627.343	1489.001	2261	1180.002	1628.003
ENSG00000175868	CALCB	21	6	282.001	222.001	2	0	4	0
ENSG00000175873	AC004840.9	42	73	143.211	145.263	120	157	161.748	186.119
ENSG00000175874	CREG2	0	0	166	126.944	0	0	1060	988
ENSG00000175877	WBSCR28	0	0	13	14	0	0	12	9
ENSG00000175879	HOXD8	0	0	0	2	18	0	59	51
ENSG00000175886	RPL7AP66	3.01	14.999	19.57	9.06	5.016	6.033	57.375	28.125
ENSG00000175893	ZDHHC21	3014	2323	1205	758	273	301	5172.714	5089.236
ENSG00000175894	TSPEAR	0	0	231	337	0	0	32	26
ENSG00000175895	PLEKHF2	4704	4303	532	311	2116	2346	7091.095	5195.577
ENSG00000175898	CTD-2369P2.2	944.319	962.58	1530.45	1138.368	167	213	294.547	235.236
ENSG00000175899	A2M	8	0	21	16	0	0	9	7.087
ENSG00000175906	ARL4D	100	95	896	1331.725	40	26	85	77
ENSG00000175911	AC127496.1	40	57	14	21	43	38.065	56.36	104.279
ENSG00000175920	DOK7	39	23	37	41.007	0	0	598	1589.519
ENSG00000175928	LRRN1	0	0	38538.403	25813.766	0	0	19	4
ENSG00000175931	UBE2O	3366.273	4569.045	7791.469	9542.891	3194.001	4574	3505.897	4600.729
ENSG00000175938	ORAI3	1698.426	1862.282	3372.135	3100.261	1436.082	1961.031	1448.218	1072.061
ENSG00000175946	KLHL38	0	0	0	1	0	0	0	1
ENSG00000175967	RP11-544L8__B.4	1	0	0	1	0	0	2	3
ENSG00000175970	UNC119B	4752	4114.273	11190.003	8765.645	3445	3835	11766.354	11022.462
ENSG00000175984	DENND2C	9.049	6	556.052	280.009	9	6	1936.326	1580.352
ENSG00000175985	PLEKHD1	0	5	17.244	34.194	0	1.011	58.775	95.912
ENSG00000176007	FAM220BP	0	0	0	0	0	0	2	1.001
ENSG00000176009	ASCL3	0	0	0	0	0	0	0	0
ENSG00000176014	TUBB6	11709.702	12354.484	20516.809	21791.76	10361.947	14689.612	2786.503	5157.629
ENSG00000176018	LYSMD3	1297	1130	763.021	315.016	2816.001	3562	4709.005	3354
ENSG00000176020	AMIGO3	0	0	1459.037	2046.896	994.448	553.508	17.178	12.927
ENSG00000176022	B3GALT6	1828	2173.237	4008.37	3795.877	1873	2569	1454	1783
ENSG00000176024	ZNF613	372	350	706	357.999	214	180	368	385.001
ENSG00000176029	C11orf16	0	0	9	6	4	0	0	5
ENSG00000176034	CHDC2	0	1	0	0	0	0	0	1
ENSG00000176040	TMPRSS7	0	0	1	5	0	0	27	19
ENSG00000176043	RP1-146I3.1	0	0	1	0	0	0	0	0
ENSG00000176046	NUPR1	5	7	15	23	24	54	32	47.051
ENSG00000176049	JAKMIP2	228	110	447.007	311	0	0	1014.048	388
ENSG00000176054	RPL23P2	29.001	24	13.007	8	12.001	38.003	24.005	26.002
ENSG00000176055	MBLAC2	1051	1232.047	696.002	958	1816.35	1762	953	891
ENSG00000176058	TPRN	1155	1366.001	1825.575	2292.677	1642	1698	1008.653	2159.877
ENSG00000176075	LINC00302	0	0	0	0	0	0	0	0
ENSG00000176076	KCNE1L	22	49	573.216	714	2	9	0	0
ENSG00000176082	AL357153.1	0	0	0	0	11	4	0	0
ENSG00000176083	ZNF683	0	0	0	0	0	0	0	0
ENSG00000176087	SLC35A4	11739.176	12644	15721.073	15751.451	7877	8746.458	7293.845	7515.524
ENSG00000176092	AIM1L	9	10	1463.274	1856.045	240	363.001	83	93
ENSG00000176095	IP6K1	3601	4330.999	5319.991	6112.016	2553	3015.368	3077.999	3485.903
ENSG00000176101	SSNA1	4279	4946	7223.341	7163.161	4541	4974	2182.614	3440.694
ENSG00000176102	CSTF3	4740.519	3992	2261.7	1451.065	5810	7326	4312.349	4388.706
ENSG00000176105	YES1	1001.001	721.648	3472.045	3072.257	12463.95	18360.004	8143.401	6145.126
ENSG00000176108	CHMP6	2358	2541	2483.349	2481	1831	2475	766	1207
ENSG00000176115	AQP7P4	0	0	0	0	0	0	0	0
ENSG00000176124	DLEU1	517	383	679.984	381.286	1630.001	2345.102	519.632	615.249
ENSG00000176125	UFSP1	285	385	91	99	489	645	42	86
ENSG00000176134	AL445665.1	0	0	0	0	0	0	0	0
ENSG00000176136	MC5R	0	0	117	88	0	0	3	7
ENSG00000176142	TMEM39A	2615.999	2362	4395.372	2453.998	1957.001	2013	3566.076	2895.999
ENSG00000176148	TCP11L1	1588.001	1284	1906.423	1667.054	429	578	1477.999	1698.018
ENSG00000176153	GPX2	2	0	45	26	0	0	1627	764
ENSG00000176155	CCDC57	4125	4325.672	1121.207	1280	4050.998	5905	3215.319	3660.588
ENSG00000176160	HSF5	15	4	2	6	0	8	4	5
ENSG00000176165	FOXG1	32	31	9	19	299	354	1	0
ENSG00000176170	SPHK1	72	60	276	451	3932	4547.001	734.001	980
ENSG00000176171	BNIP3	2440	2239.378	6060.504	4956.256	4045	4554	1727.448	2626.828
ENSG00000176177	ENTHD1	42	23	0	0	27	23	0	0
ENSG00000176182	MYPOP	410	522	435	637.317	368	290	216	252
ENSG00000176183	CH17-12M21.1	0	0	3	2	0	0	5.001	1
ENSG00000176194	CIDEA	0	0	0	3	0	0	0	0
ENSG00000176198	OR11H4	0	0	0	0	0	0	1	0
ENSG00000176200	OR4D11	0	0	0	0	0	0	0	0
ENSG00000176204	LRRTM4	0	8	552.706	306.032	1	0	13.251	9.642
ENSG00000176208	ATAD5	3560	2533	1741.284	1273.331	4501	7968	2158.987	2211.289
ENSG00000176209	SMIM19	2420.999	1895	2222.786	1660.954	966.001	1284	1281	1045.999
ENSG00000176219	OR11H6	0	0	0	0	0	0	0	0
ENSG00000176222	ZNF404	43.953	40.416	62.563	56.352	16	41	70.982	72.595
ENSG00000176225	RTTN	2600	2386.999	2843.199	1986.569	1178	1348.617	1322.999	1440.967
ENSG00000176227	CTAGE15	57.36	78.52	46.965	74.926	0	0	58.638	57.538
ENSG00000176230	OR4K17	0	0	0	0	0	0	1	0
ENSG00000176231	OR10H4	0	0	0	0	0	0	0	0
ENSG00000176232	RP5-1193P9.4	0	0	0	0	0	0	0	0
ENSG00000176236	C10orf111	30	28	18.102	27	0	13	40.09	41
ENSG00000176239	OR51B6	0	0	1	0	0	0	0	0
ENSG00000176243	CDV3P1	0	0	0	0	0	0	0	0
ENSG00000176244	ACBD7	18.001	16	964.72	1000.998	37	71.572	1279.994	836.879
ENSG00000176246	OR4L1	0	0	0	0	0	0	0	0
ENSG00000176248	ANAPC2	4091.002	5165	4021.297	4974.02	3145	4016.001	3752.001	5864.926
ENSG00000176253	OR4K13	0	0	0	0	0	0	0	0
ENSG00000176256	HMGB4	0	0	0	0	0	0	0	0
ENSG00000176261	ZBTB8OS	3628.998	3314.001	2336.336	1151.754	3188.999	3097	2780.188	3092.031
ENSG00000176268	CYCSP34	5	11	0	0	0	0	27	24
ENSG00000176269	OR4F21	0	0	0	0	0	6.033	11.251	5
ENSG00000176273	SLC35G1	699.001	784	1182	671	695	939	1155	900
ENSG00000176274	SLC25A53	1240	1091	892.851	605.572	199	265	509.133	423.04
ENSG00000176281	OR4K5	0	0	0	0	0	0	0	0
ENSG00000176289	IDSP1	0	0	0	0	0	0	0	0
ENSG00000176290	OR4K3	0	0	0	0	0	0	0	0
ENSG00000176293	ZNF135	0	0	1554.858	1209.026	0	0	176.658	267
ENSG00000176294	OR4N2	0	0	0	0	0	0	0	0
ENSG00000176299	OR4M1	0	0	0	0	0	0	0	0
ENSG00000176302	FOXR1	0	0	1	0	0	0	3	0
ENSG00000176305	AC087269.1	0	0	0	0	0	0	89.023	0
ENSG00000176312	OR4H12P	0	0	0	0	0	0	0	0
ENSG00000176318	FOXN3P1	0	0	0	0	0	0	0	0
ENSG00000176320	RP11-404O13.5	7.255	5.223	8.038	6.436	1.009	25.402	29.939	18.811
ENSG00000176340	COX8A	21412	22235	28413.48	28862.228	18909.427	19298.999	3877.993	5596.326
ENSG00000176343	RPL37AP8	0	0	0	0	0	0	0	0
ENSG00000176349	AC110781.3	0	0	2	1	0	0	0	2
ENSG00000176354	AC097359.1	0	79	0	0	0	0	0	57.084
ENSG00000176358	TAC4	1.149	3.927	5	13.016	2	0	4.905	3
ENSG00000176371	ZSCAN2	782.907	737	2723.584	2445.828	704	755.826	1121.795	1007.547
ENSG00000176378	PFN1P10	0	0	0	0	0	0	0	0
ENSG00000176381	PRR18	449	541	19	31	0	0	1	1
ENSG00000176383	B3GNT4	0	1	146	135	183.001	130	119.001	110.999
ENSG00000176386	CDC26	1626	1144.12	1353.944	588.284	1991.086	2265.994	4436.996	4256.356
ENSG00000176387	HSD11B2	7	24.641	3669.785	4183.931	60	98.159	78.628	118.404
ENSG00000176390	CRLF3	3015	2668	2444.136	1445.168	4466	4755	1017	1278
ENSG00000176393	RNPEP	4316	4432	5247.999	6425.138	6696.999	9708	4345.295	4927
ENSG00000176395	CEACAM20	0	0	0	0	0	0	1	0
ENSG00000176396	EID2	796	1079	825.137	690.014	1480	1501	934	859
ENSG00000176399	DMRTA1	0	0	554	291.08	0	0	1405	897
ENSG00000176401	EID2B	553	590	258	289	497	789	282.113	322.953
ENSG00000176402	GJC3	3	9	196.971	106.067	3	22	11	3
ENSG00000176406	RIMS2	1	2.458	1580.144	836.192	0	0	1089.418	1253.057
ENSG00000176407	KCMF1	4859.304	4095	13243.22	9482.18	3557	4047.336	7551.277	7359.306
ENSG00000176410	DNAJC30	2114	2173	1023.358	1377	1166	1202	725.109	852
ENSG00000176422	SPRYD4	1688	1394	3609.917	2759.297	1273	1396	1512.639	1888.004
ENSG00000176428	VPS37D	7	8	501	600	135	98	62	97.008
ENSG00000176435	CLEC14A	0	0	13	22	0	0	3	5
ENSG00000176438	SYNE3	2838	2932	1	4	246	299	78.99	132.89
ENSG00000176444	CLK2	6187	6380	8656.809	9087.721	5154	7687	9898.288	9865.851
ENSG00000176454	LPCAT4	2893	2989.001	8565.802	10147.798	1961	2173	1532.208	2157.003
ENSG00000176463	SLCO3A1	26	56	2497.539	2854	2	34	1797.002	1862
ENSG00000176472	ZNF575	98.001	92.001	4	15	21	27	11	12
ENSG00000176473	WDR25	391	371.076	1208.292	1253.276	471.999	623.001	599.001	625.033
ENSG00000176476	CCDC101	482	545	246.112	360.999	625	885.999	634.856	624.009
ENSG00000176485	PLA2G16	952	903.999	10557.505	8515.513	81	116	1230.962	1469.636
ENSG00000176490	DIRAS1	12	2	2830.954	3128.595	701	1132	381	399
ENSG00000176495	OR5AN1	0	0	0	0	0	0	0	0
ENSG00000176510	OR10AC1P	0	0	0	0	0	0	0	0
ENSG00000176515	AL033381.1	0	0	0	0	0	0	0	0
ENSG00000176531	PHLDB3	417.001	491	469.09	648.302	402	729	417.999	620.113
ENSG00000176532	PRR15	0	0	438	624	0	0	550	664
